id;numero;type;phase;date_dernier_achat;fabricant;cumul_energie_mensuelle
1;calme oups multiple;quoique doucement triathlète;1296;2023-12-08T16:33:56;dans la mesure où;10750.5
2;actionnaire habiller;posséder;413;2023-12-08T06:59:14;procurer alors que de façon à ce que;8914.3
3;orienter mairie badaboum;gens;11259;2023-12-08T07:37:26;à bas de aussitôt que;4960.78
4;derrière;avant tchou tchouu;24614;2023-12-08T06:29:30;grrr badaboum;21114.76
5;transmettre;réfléchir;32108;2023-12-08T06:01:32;fourbe;7734.09
6;ensuite;délectable aboutir hôte;8397;2023-12-08T16:02:42;dès que;25146.47
7;sitôt que rappeler là-haut;renvoyer que;9681;2023-12-08T11:54:39;désirer de crainte que vu que;7464.62
8;célébrer tranquille payer;cependant au-dessus de;12665;2023-12-08T01:15:54;de façon à retomber jamais;23814.11
9;suivant;antique étant donné que;29747;2023-12-07T20:25:30;avant-hier fonctionnaire psitt;28956.37
10;sauvage entièrement hirsute;avex;23494;2023-12-07T20:44:50;d'entre servir;11279.97
