id;numero_facture;date_facture;date_echeance;montant_facture;cons_tot
1;placide;2023-12-08;2023-12-08;13727.93;18501.87
2;sombre assez;2023-12-08;2023-12-08;11407.18;23984.43
3;commis rédaction résumer;2023-12-07;2023-12-08;14648.98;20296.9
4;sans que simple;2023-12-08;2023-12-08;21011.8;31027.8
5;hôte touriste;2023-12-08;2023-12-08;24942.67;21639.59
6;du côté de triste immense;2023-12-08;2023-12-07;23609.48;4442.05
7;parmi;2023-12-08;2023-12-08;6613.27;24440.4
8;extra pousser jeune enfant;2023-12-08;2023-12-08;30601.73;12181.05
9;puis à demi tandis que;2023-12-08;2023-12-08;31264.16;16056.9
10;souper;2023-12-08;2023-12-07;12585.39;27916.95
